Graph name; Number of colors; Coloring time (sec); Color classes
graphs\anna.col; 11; 0.001; {1, 2, 3, 5, 14, 17, 18, 24, 30, 37, 38, 42, 47, 48, 49, 54, 56, 60, 61, 65, 66, 71, 73, 86, 98, 102, 106, 109, 110, 111, 112, 115, 119, 122, 125, 126, 128, 129, 134}, {4, 6, 8, 10, 11, 12, 15, 22, 23, 25, 26, 27, 31, 35, 39, 41, 43, 44, 50, 52, 62, 63, 69, 75, 77, 79, 80, 82, 84, 87, 88, 92, 93, 100, 103, 105, 107, 113, 114, 117, 121, 124, 133, 137, 138}, {9, 13, 28, 51, 55, 58, 64, 67, 70, 74, 94, 96, 97, 104, 118, 131, 132}, {29, 34, 36, 40, 53, 57, 68, 78, 90, 120}, {16, 72, 76, 123, 127, 130, 136}, {19, 21, 32, 33, 45, 46, 135}, {20, 83, 101, 108, 116}, {59, 89, 99}, {7, 85, 95}, {91}, {81}
graphs\fpsol2.i.1.col; 65; 0.011; {34, 35, 36, 37, 39, 40, 41, 42, 48, 49, 51, 52, 53, 54, 56, 57, 58, 60, 61, 65, 68, 69, 70, 71, 72, 73, 75, 96, 98, 109, 111, 112, 115, 118, 126, 127, 128, 131, 133, 134, 135, 139, 140, 142, 143, 144, 146, 148, 152, 153, 154, 155, 157, 158, 162, 164, 165, 167, 169, 173, 174, 175, 176, 177, 178, 179, 180, 181, 184, 186, 187, 188, 191, 192, 193, 194, 195, 196, 198, 199, 202, 205, 206, 207, 208, 209, 210, 211, 212, 215, 217, 227, 229, 231, 233, 235, 237, 243, 247, 253, 254, 256, 257, 260, 266, 268, 270, 272, 274, 278, 284, 285, 287, 288, 289, 290, 291, 292, 293, 294, 295, 298, 300, 301, 304, 306, 307, 309, 311, 312, 314, 316, 319, 320, 322, 323, 324, 326, 330, 332, 334, 335, 337, 341, 342, 345, 346, 347, 348, 349, 350, 352, 353, 354, 356, 357, 359, 361, 362, 363, 365, 367, 369, 370, 371, 372, 373, 374, 375, 376, 377, 378, 381, 382, 385, 387, 389, 392, 396, 397, 399, 400, 403, 406, 408, 410, 414, 416, 417, 418, 419, 420, 422, 424, 425, 427, 428, 429, 430, 432, 435, 437, 439, 440, 442, 444, 446, 447, 448, 450, 453, 455, 456, 458, 461, 464, 466, 468, 472, 476, 477, 479, 481, 485, 487, 489, 492, 494, 495}, {95, 99}, {91, 100}, {92, 101}, {93, 102}, {94, 103}, {90, 104}, {105, 110}, {97, 106}, {10, 107}, {9, 108}, {8, 113}, {7, 114}, {6, 116}, {5, 117}, {64, 119, 163, 216, 279, 281, 283, 310, 317, 318, 393, 395, 454, 474, 475, 493}, {122, 245, 246, 251, 252, 280, 282, 297, 394, 423, 426, 473}, {121, 244, 248, 250, 296}, {120, 249, 299, 303}, {3, 125, 305}, {4, 76, 124}, {123, 302, 308, 313, 315}, {132, 141, 168, 321}, {86, 138, 171}, {55, 137, 149, 170, 172}, {74, 129}, {14, 47, 50, 130}, {38, 79, 182, 482, 483, 486}, {59, 136, 147, 150, 328, 336, 460, 462, 465}, {43, 80, 85, 185, 189, 190, 197, 327, 459, 484, 488, 490}, {62, 63, 145, 151, 331, 463, 467, 469, 491}, {33, 46, 343, 470}, {81, 156, 200, 203, 213, 220, 223, 230, 239, 329, 471, 480, 496}, {84, 161, 204, 221, 222, 228, 325, 478}, {166, 201, 225, 234, 240, 333}, {66, 258, 262, 265, 269, 277, 338}, {45, 159, 339}, {44, 160, 214, 219, 226, 236, 241, 261, 267, 340, 344, 351, 355, 358, 434, 438}, {78, 83, 224, 232, 259, 263, 271, 275, 360, 433}, {77, 218, 255, 264, 273, 276, 436, 441}, {1, 28}, {2, 32}, {13, 29}, {11, 30}, {16, 19}, {12, 26}, {15, 25}, {27}, {24}, {23}, {22}, {21}, {17}, {20}, {18}, {31}, {82, 89, 238, 366, 379, 443, 449, 451}, {183, 368, 380, 383, 386, 445, 452}, {67, 242, 286, 401, 404}, {384, 388, 390, 402, 407, 457}, {364, 391, 412, 431}, {87, 398, 405, 411}, {409, 413}, {88}, {415, 421}
graphs\games120.col; 9; 0; {3, 13, 23, 25, 33, 36, 37, 46, 68, 70, 76, 85, 86, 89, 92, 93, 94, 107, 114}, {5, 17, 18, 29, 51, 55, 59, 61, 62, 64, 77, 81, 88, 90, 104, 109, 111, 113, 116, 117, 118}, {10, 11, 16, 19, 20, 24, 28, 31, 38, 39, 45, 53, 63, 72, 78, 84, 101, 105, 108}, {1, 4, 9, 35, 41, 47, 54, 56, 65, 66, 67, 75, 79, 100, 106, 115}, {7, 15, 27, 30, 34, 49, 57, 69, 71, 80, 82, 87, 97, 103, 110}, {2, 8, 14, 22, 26, 32, 50, 52, 58, 102, 112, 119, 120}, {12, 21, 44, 60, 73, 74, 95, 96, 98}, {6, 40, 43, 83, 91, 99}, {42, 48}
graphs\huck.col; 11; 0; {8, 26, 28, 33, 37, 43, 48, 55, 61, 63, 70, 71}, {1, 7, 15, 16, 17, 18, 32, 35, 41, 42, 45, 53, 54, 66}, {23, 24, 49, 52, 57, 58, 65}, {3, 4, 21, 30, 36, 44, 51, 59, 72}, {10, 13, 20, 22, 31, 62, 73, 74}, {2, 5, 9, 12, 27, 64}, {14, 39, 46, 50, 56, 67, 69}, {19, 29, 34, 38, 47}, {6, 11, 68}, {25, 60}, {40}
graphs\inithx.i.1.col; 54; 0.018; {35, 80, 81, 92, 93, 94, 97, 101, 104, 107, 110, 111, 114, 118, 120, 122, 123, 124, 125, 126, 127, 128, 129, 131, 135, 136, 138, 140, 144, 146, 147, 148, 149, 150, 151, 153, 154, 155, 156, 157, 158, 160, 161, 164, 167, 169, 171, 172, 176, 177, 178, 179, 181, 184, 189, 194, 195, 198, 203, 206, 211, 213, 216, 218, 221, 223, 226, 228, 231, 235, 237, 243, 244, 246, 247, 248, 249, 250, 252, 259, 260, 263, 265, 269, 273, 275, 279, 281, 284, 286, 289, 291, 293, 294, 295, 296, 298, 299, 300, 301, 303, 308, 310, 311, 315, 316, 317, 319, 320, 322, 324, 326, 330, 332, 333, 335, 341, 343, 346, 348, 350, 352, 354, 355, 357, 359, 361, 363, 367, 370, 375, 380, 381, 383, 386, 388, 390, 391, 392, 394, 395, 396, 398, 399, 403, 406, 408, 410, 411, 412, 413, 415, 416, 417, 419, 424, 426, 427, 429, 433, 434, 436, 438, 439, 440, 447, 449, 450, 456, 457, 459, 462, 464, 468, 469, 470, 471, 475, 483, 484, 488, 489, 490, 493, 495, 497, 499, 502, 503, 505, 509, 511, 512, 514, 515, 516, 517, 519, 520, 522, 523, 524, 526, 527, 528, 529, 531, 532, 533, 535, 536, 537, 538, 540, 548, 551, 553, 554, 555, 556, 558, 559, 561, 563, 568, 570, 571, 578, 580, 581, 582, 586, 590, 597, 600, 607, 609, 614, 618, 622, 623, 625, 629, 632, 634, 637, 639, 643, 650, 653, 661, 666, 667, 668, 669, 671, 677, 678, 681, 683, 685, 686, 687, 688, 690, 691, 692, 694, 699, 701, 702, 706, 710, 714, 715, 717, 719, 720, 723, 725, 727, 736, 737, 738, 740, 741, 742, 744, 749, 752, 753, 755, 757, 759, 760, 762, 763, 764, 767, 769, 770, 773, 774, 776, 781, 783, 788, 791, 792, 793, 795, 797, 799, 800, 802, 805, 806, 811, 812, 813, 814, 815, 816, 817, 818, 819, 820, 821, 822, 824, 828, 831, 833, 834, 835, 836, 838, 839, 840, 843, 848, 850, 851, 854, 860, 862, 863}, {74, 82}, {73, 83}, {75, 84}, {76, 85}, {77, 86}, {78, 87}, {48, 88, 90, 501}, {91, 95, 349, 430, 437, 441, 448, 451, 453, 454, 455, 458, 460, 465, 467, 472, 473, 476, 477, 481, 482, 494, 498, 500, 504, 506, 530, 560, 638, 663, 664, 708, 711, 712, 713, 729, 731, 733, 735, 758, 798, 807, 808}, {49, 89, 96, 99, 100, 103, 106, 109, 492, 507, 508, 513, 521}, {79, 112}, {102, 116, 142, 162, 163, 165, 168, 175, 180, 182, 186, 190, 191, 193, 478, 479, 584, 588, 601, 602, 603, 605, 612, 615, 620, 621, 652, 654, 655, 656, 658, 707, 730, 732, 734}, {47, 108, 115, 139, 183, 185, 187, 192, 442, 446, 452, 463, 466, 474, 579, 616, 619, 640, 659, 662, 680}, {10, 54, 121, 496, 510, 518, 525, 534}, {9, 36, 119, 130, 188, 205, 209}, {8, 53, 230, 238}, {7, 40, 52, 245}, {6, 37, 41, 51, 134, 255, 325, 336, 347}, {5, 42, 56, 68, 487, 491, 550, 557, 566, 567, 574, 630, 631, 635, 648, 657, 665, 739}, {4, 38, 98, 137, 152, 242, 385, 387, 409, 414, 418, 421, 423, 428, 443, 480, 485, 486, 542, 628, 633, 641, 646, 647, 649, 670, 718, 789, 794, 801, 803, 804, 809, 810}, {15, 33, 57, 64, 67, 321, 339, 345, 356, 389, 407, 422, 444, 461, 552, 564, 565, 576, 636, 644, 645, 673, 721, 726, 765, 766, 786, 787, 823}, {16, 44, 45, 62, 133, 258, 337, 397, 547, 642, 672, 722, 728, 747, 748, 751, 768, 771, 826}, {39, 55, 141, 143, 196, 199, 200, 202, 207, 208, 210, 214, 215, 219, 222, 224, 227, 229, 232, 234, 236, 241, 264, 267, 271, 290, 323, 329, 331, 340, 344, 351, 445, 543, 583, 593, 596, 598, 606, 610, 611, 613, 617, 651, 660, 676, 709, 745, 746, 750, 754, 756, 772, 841}, {105, 159, 197, 201, 204, 212, 217, 220, 225, 233, 239, 240, 270, 272, 327, 328, 342, 358, 371, 372, 373, 378, 379, 562, 573, 585, 587, 592, 594, 604, 627, 724, 779, 780, 790, 856, 857, 858, 861}, {60, 113, 145, 173, 253, 268, 277, 278, 334, 362, 364, 365, 368, 374, 376, 377, 569, 589, 591, 595, 599, 608, 855, 859}, {65, 117, 132, 257, 266, 282, 287, 288, 338, 353, 360, 366, 369, 572, 675, 827}, {34, 43, 69, 166, 174, 251, 274, 276, 280, 283, 382, 545, 796, 825}, {58, 170, 384, 549, 577, 674, 830, 837, 846, 847, 864}, {12, 50, 256, 393, 626, 743, 761, 777, 778, 784, 785, 832, 842, 845, 853}, {13, 66, 254, 400, 546, 682, 689, 697, 698, 703, 775, 782, 844, 849}, {11, 61, 262, 297, 306, 307, 312, 401, 544, 684, 695, 696, 700}, {14, 285, 292, 304, 305, 309, 402, 575, 693, 704, 829}, {63, 302, 313, 539, 679, 716, 852}, {46, 71, 261, 318, 705}, {70, 314, 405, 541}, {59, 72, 404}, {420, 425, 624}, {2, 23}, {1, 26}, {3, 25}, {29}, {22}, {21}, {20}, {19}, {18}, {24}, {17}, {32}, {30}, {27}, {28}, {31}, {431, 432, 435}
graphs\jean.col; 10; 0.001; {3, 14, 21, 22, 23, 31, 36, 43, 48, 49, 51, 52, 53, 56, 59, 61, 62, 67, 70, 71, 72, 74, 76}, {1, 5, 8, 9, 12, 13, 24, 30, 32, 33, 41, 42, 45, 46, 57, 60, 64, 65, 75, 77, 78, 80}, {2, 11, 16, 18, 20, 28, 29, 54, 66, 69}, {26, 34, 37, 40}, {7, 17, 58, 63}, {19, 39, 55, 73}, {10, 27, 35, 47, 79}, {6, 25, 44, 68}, {4, 15}, {38, 50}
graphs\latin_square_10.col; 130; 0.29; {25, 114, 207, 296, 430, 522, 611, 693, 782, 900}, {55, 149, 243, 331, 364, 459, 547, 675, 763, 899}, {4, 91, 189, 276, 398, 495, 582, 648, 735, 898}, {35, 124, 216, 302, 440, 531, 618, 702, 789, 897}, {109, 292, 424, 608, 639, 724, 896}, {53, 142, 234, 319, 616, 787, 895}, {38, 131, 225, 309, 374, 468, 551, 684, 768, 894}, {49, 143, 317, 395, 486, 569, 711, 794, 893}, {62, 148, 325, 436, 613, 666, 748, 892}, {67, 156, 251, 342, 390, 485, 576, 656, 747, 891}, {37, 130, 224, 313, 363, 458, 665, 754, 890}, {20, 115, 206, 294, 376, 467, 555, 701, 790, 889}, {65, 162, 339, 378, 554, 720, 807, 888}, {7, 95, 188, 274, 429, 521, 683, 770, 887}, {66, 337, 387, 476, 561, 805, 886}, {14, 108, 197, 281, 414, 503, 588, 804, 885}, {52, 139, 233, 427, 605, 749, 884}, {15, 280, 423, 512, 595, 802, 883}, {1, 96, 187, 279, 375, 466, 558, 691, 783, 882}, {13, 196, 287, 405, 493, 584, 719, 810, 881}, {82, 174, 269, 358, 362, 457, 546, 655, 744, 880}, {81, 167, 260, 348, 446, 539, 627, 673, 761, 879}, {24, 111, 205, 418, 511, 599, 664, 751, 878}, {45, 223, 310, 447, 625, 682, 769, 877}, {58, 146, 241, 327, 389, 484, 570, 646, 731, 876}, {136, 232, 433, 530, 614, 637, 721, 875}, {30, 125, 214, 298, 386, 475, 559, 710, 793, 874}, {112, 204, 297, 428, 520, 612, 672, 765, 873}, {72, 159, 250, 341, 538, 630, 681, 773, 872}, {40, 135, 222, 396, 483, 574, 718, 809, 871}, {11, 102, 195, 284, 381, 474, 563, 663, 752, 870}, {92, 186, 371, 465, 553, 654, 742, 869}, {73, 164, 259, 346, 361, 456, 543, 645, 732, 868}, {231, 318, 529, 615, 636, 722, 867}, {87, 179, 268, 353, 412, 501, 587, 700, 785, 866}, {31, 213, 404, 492, 577, 709, 865}, {118, 212, 306, 528, 621, 635, 729, 864}, {85, 176, 267, 360, 391, 482, 575, 671, 764, 863}, {116, 203, 295, 377, 464, 556, 708, 800, 862}, {21, 117, 573, 717, 808, 861}, {161, 249, 338, 450, 537, 626, 797, 860}, {88, 355, 417, 510, 598, 653, 741, 859}, {9, 93, 185, 272, 445, 624, 662, 750, 858}, {39, 133, 221, 308, 385, 473, 560, 699, 857}, {36, 120, 444, 622, 739, 856}, {16, 105, 193, 288, 518, 689, 855}, {2, 184, 278, 472, 566, 661, 755, 854}, {153, 239, 481, 716, 853}, {155, 248, 340, 443, 536, 628, 643, 852}, {266, 357, 454, 545, 652, 743, 851}, {74, 163, 257, 370, 463, 552, 634, 723, 850}, {230, 527, 698, 786, 849}, {32, 211, 299, 413, 500, 707, 848}, {113, 202, 289, 420, 509, 680, 766, 847}, {60, 238, 333, 407, 499, 594, 642, 738, 846}, {56, 147, 332, 462, 557, 651, 746, 845}, {77, 165, 256, 350, 399, 490, 583, 745, 844}, {80, 171, 349, 432, 517, 610, 715, 843}, {6, 183, 275, 416, 508, 600, 734, 842}, {154, 247, 442, 535, 633, 841}, {180, 265, 354, 368, 453, 542, 706, 795, 840}, {168, 344, 401, 578, 679, 767, 839}, {59, 151, 403, 697, 784, 838}, {28, 122, 210, 365, 452, 549, 678, 774, 837}, {46, 137, 228, 323, 548, 641, 737, 836}, {86, 172, 264, 359, 397, 489, 632, 727, 835}, {107, 191, 285, 431, 516, 705, 799, 834}, {127, 219, 311, 388, 480, 572, 725, 833}, {97, 182, 421, 507, 696, 788, 832}, {5, 98, 273, 498, 589, 796, 831}, {33, 126, 596, 714, 803, 830}, {50, 141, 316, 402, 687, 775, 829}, {170, 254, 351, 367, 451, 695, 792, 828}, {42, 218, 314, 415, 506, 602, 631, 728, 827}, {94, 181, 277, 533, 629, 668, 826}, {263, 408, 497, 591, 650, 825}, {61, 152, 236, 330, 515, 609, 704, 798, 824}, {144, 227, 320, 441, 524, 617, 713, 806, 823}, {22, 200, 291, 488, 580, 686, 778, 822}, {34, 123, 209, 300, 606, 777, 821}, {245, 334, 392, 479, 568, 677, 820}, {134, 217, 315, 422, 505, 603, 703, 801, 819}, {208, 305, 496, 593, 694, 791, 818}, {235, 460, 712, 817}, {244, 532, 676, 771, 816}, {199, 293, 487, 581, 685, 780, 815}, {90, 177, 262, 356, 438, 523, 814}, {103, 190, 282, 514, 607, 667, 760, 813}, {79, 253, 345, 419, 597, 759, 812}, {138, 226, 478, 649, 740, 811}, {145, 328, 406, 502}, {68, 157, 336, 400, 579, 659}, {48, 140, 324, 382, 470, 567}, {166, 258, 491, 585, 756}, {104, 286, 383, 469, 565, 772}, {29, 121, 373, 461, 550, 669, 757}, {70, 252, 513, 730}, {43, 129, 312, 426, 657}, {78, 169, 255, 411, 592, 781}, {51, 229, 322, 601, 736}, {64, 160, 246, 335, 366, 541, 776}, {8, 271, 437, 525, 758}, {100, 379, 564, 638, 726}, {69, 409, 504, 753}, {215, 303, 410, 674, 762}, {76, 261, 347, 393, 571, 779}, {119, 301, 434, 640, 733}, {63, 150, 242, 326, 540, 623}, {12, 106, 198, 283, 394}, {17, 101, 192, 435, 526, 619}, {47, 321, 372, 658}, {3, 99}, {128, 307, 425, 519, 604, 644}, {57, 240, 329, 380, 562}, {23, 110, 590, 647}, {84, 173, 352, 471}, {54, 448, 534}, {44, 132, 220, 439, 620, 688}, {75, 343, 384, 477}, {83, 175, 270}, {18, 194, 449}, {10, 369, 455, 544}, {89, 178, 692}, {41, 586, 660}, {304, 494}, {71, 158, 670}, {27, 201, 290}, {237}, {26, 690}, {19}
graphs\le450_15b.col; 17; 0.012; {3, 13, 18, 24, 29, 32, 33, 40, 46, 62, 65, 73, 92, 93, 101, 105, 108, 122, 159, 167, 186, 189, 196, 213, 234, 236, 258, 308, 309, 343, 346, 347, 360, 361, 362, 365, 390, 391, 407, 428, 430, 436, 440, 449}, {10, 25, 28, 37, 48, 50, 60, 66, 88, 115, 117, 123, 130, 142, 150, 160, 163, 165, 177, 194, 202, 215, 221, 227, 250, 252, 268, 292, 315, 322, 349, 382, 398, 417, 420, 443}, {35, 38, 43, 51, 58, 59, 98, 103, 119, 140, 158, 169, 175, 179, 183, 184, 230, 231, 239, 248, 276, 291, 350, 351, 353, 357, 359, 399, 400, 401, 408, 418, 433, 439}, {31, 34, 36, 39, 57, 94, 129, 134, 138, 145, 152, 192, 219, 220, 224, 238, 242, 270, 300, 325, 327, 344, 345, 369, 379, 402, 405, 434, 438, 441, 447}, {4, 9, 52, 55, 64, 69, 82, 84, 85, 86, 91, 146, 178, 199, 201, 226, 246, 266, 296, 299, 334, 356, 374, 388, 403, 415, 429, 431}, {5, 7, 14, 21, 26, 27, 54, 100, 136, 143, 157, 218, 229, 243, 254, 256, 261, 281, 306, 310, 320, 355, 363, 371, 409, 421, 444}, {1, 2, 15, 45, 53, 87, 89, 96, 102, 126, 147, 166, 170, 209, 210, 253, 259, 269, 290, 298, 303, 312, 317, 335, 340, 341, 364, 381, 423}, {23, 70, 131, 133, 144, 151, 168, 187, 188, 204, 217, 241, 244, 260, 273, 288, 289, 294, 318, 319, 323, 338, 348, 367, 368, 411, 416, 422}, {19, 30, 75, 118, 141, 182, 216, 223, 263, 265, 267, 280, 285, 287, 293, 301, 330, 358, 375, 376, 385, 386, 406}, {22, 77, 81, 83, 116, 120, 132, 137, 176, 193, 200, 207, 214, 251, 262, 316, 328, 331, 352, 384, 393, 412, 413, 425, 426, 442, 446, 448}, {12, 16, 68, 71, 74, 76, 107, 112, 128, 162, 185, 190, 206, 225, 232, 235, 240, 257, 274, 279, 282, 284, 332, 387, 419, 432}, {63, 79, 110, 113, 148, 149, 164, 180, 195, 208, 228, 237, 245, 271, 278, 283, 305, 313, 314, 321, 394, 397, 437, 450}, {41, 44, 49, 111, 121, 153, 154, 156, 161, 191, 198, 205, 212, 222, 233, 249, 275, 295, 297, 311, 329, 380, 424}, {8, 11, 42, 56, 80, 95, 97, 104, 114, 125, 127, 172, 174, 203, 247, 302, 304, 307, 336, 339, 342, 354, 366, 372, 373, 378, 383, 414, 427}, {17, 20, 47, 61, 67, 72, 78, 90, 99, 106, 135, 155, 173, 181, 197, 264, 272, 277, 286, 324, 326, 333, 377, 389, 392, 395, 396, 404, 410, 435, 445}, {6, 109, 124, 139, 171, 211, 255, 337}, {370}
graphs\le450_25a.col; 25; 0.014; {4, 18, 21, 41, 42, 45, 49, 50, 72, 80, 87, 107, 112, 117, 124, 125, 130, 138, 147, 148, 151, 154, 158, 167, 180, 185, 209, 211, 214, 225, 226, 235, 240, 243, 262, 272, 274, 278, 285, 298, 299, 316, 322, 323, 324, 331, 337, 353, 354, 359, 362, 387, 393, 403, 408, 412, 417, 420, 421, 424, 431, 432, 447}, {6, 9, 47, 53, 68, 74, 85, 93, 108, 109, 115, 118, 126, 146, 150, 155, 166, 168, 179, 181, 213, 233, 250, 253, 267, 275, 276, 279, 282, 303, 304, 330, 373, 389, 394, 406, 434, 436, 438}, {3, 13, 24, 25, 27, 69, 76, 90, 94, 139, 162, 184, 194, 195, 215, 232, 244, 288, 296, 300, 314, 317, 325, 327, 399, 422, 425, 450}, {14, 23, 35, 56, 86, 103, 135, 196, 206, 218, 224, 241, 281, 283, 289, 338, 341, 372, 392}, {15, 28, 34, 38, 64, 102, 136, 153, 165, 174, 182, 190, 191, 222, 326, 335, 345, 357, 423}, {1, 66, 75, 97, 104, 121, 129, 160, 257, 260, 297, 309, 350, 363, 411, 428, 437}, {36, 55, 81, 173, 236, 247, 255, 263, 273, 294, 295, 311, 336, 405, 429, 448}, {16, 32, 57, 99, 134, 137, 171, 172, 251, 305, 349, 361, 370, 375, 376, 390, 402, 404, 410}, {8, 46, 62, 91, 132, 133, 189, 208, 217, 227, 254, 307, 312, 321, 368, 383, 427, 435}, {2, 11, 29, 44, 59, 82, 84, 89, 110, 122, 144, 176, 193, 237, 356, 366, 379, 396, 441, 449}, {5, 26, 31, 51, 52, 65, 71, 98, 143, 156, 161, 188, 201, 212, 219, 229, 301, 328, 388, 445}, {19, 33, 83, 95, 111, 114, 145, 170, 175, 197, 220, 242, 264, 280, 315, 355, 385, 426}, {63, 105, 120, 204, 205, 210, 223, 258, 270, 271, 293, 343, 386, 391, 418, 444}, {78, 113, 127, 141, 252, 266, 320, 360, 382, 416, 433}, {17, 92, 140, 169, 202, 221, 231, 269, 319, 344, 371, 395, 413}, {30, 54, 77, 101, 256, 291, 302, 310, 329, 340, 346, 358}, {58, 67, 100, 159, 216, 230, 313, 333, 367}, {39, 128, 186, 290, 308, 318, 334, 339, 397, 414}, {20, 40, 96, 116, 183, 187, 246, 277, 287, 442}, {37, 43, 88, 123, 198, 249, 259, 268, 374, 439}, {10, 22, 48, 60, 200, 245, 261, 351, 364, 378, 380, 415}, {12, 73, 131, 149, 265, 347, 352, 365, 369, 377, 398, 409}, {70, 106, 119, 142, 163, 192, 199, 228, 286, 407, 419, 443, 446}, {7, 157, 164, 177, 207, 239, 306, 332, 342, 381, 384, 400, 401}, {61, 79, 152, 178, 203, 234, 238, 248, 284, 292, 348, 430, 440}
graphs\le450_5a.col; 10; 0.01; {5, 14, 17, 19, 31, 33, 38, 55, 60, 65, 66, 69, 80, 90, 95, 102, 103, 109, 114, 129, 146, 150, 159, 170, 180, 183, 200, 211, 224, 235, 239, 261, 270, 290, 294, 295, 298, 302, 310, 318, 324, 325, 326, 330, 339, 377, 380, 384, 385, 391, 404, 405, 415, 416, 420, 425, 434, 449}, {10, 29, 30, 50, 61, 73, 74, 84, 89, 93, 94, 100, 105, 115, 128, 142, 144, 149, 160, 165, 174, 184, 189, 190, 195, 198, 202, 205, 210, 214, 233, 236, 254, 255, 260, 264, 280, 282, 285, 319, 331, 340, 345, 347, 350, 369, 370, 375, 409, 413, 418, 435, 436, 440, 441, 444}, {4, 7, 20, 40, 46, 51, 53, 62, 72, 85, 91, 112, 122, 125, 138, 145, 153, 155, 156, 164, 166, 191, 206, 230, 232, 240, 252, 253, 265, 271, 272, 277, 291, 292, 306, 309, 316, 327, 338, 343, 365, 381, 382, 386, 392, 397, 400, 401, 406, 407, 411, 412, 424, 428, 433}, {9, 22, 25, 26, 27, 32, 37, 78, 98, 101, 107, 116, 119, 120, 121, 132, 136, 137, 167, 168, 171, 172, 188, 193, 212, 217, 227, 247, 256, 262, 278, 281, 283, 293, 299, 301, 303, 304, 307, 312, 313, 348, 367, 372, 379, 387, 389, 402, 408, 419, 429, 442, 445, 450}, {1, 3, 12, 16, 21, 24, 36, 52, 81, 92, 111, 126, 135, 139, 140, 141, 151, 157, 162, 175, 176, 182, 192, 194, 196, 197, 213, 216, 221, 225, 226, 238, 241, 251, 276, 286, 305, 311, 315, 322, 342, 351, 352, 358, 361, 362, 366, 373, 396, 417, 432, 448}, {8, 23, 28, 34, 39, 45, 58, 63, 64, 68, 70, 87, 96, 99, 108, 113, 123, 124, 133, 154, 163, 169, 173, 199, 209, 215, 219, 223, 234, 248, 259, 266, 279, 284, 288, 289, 333, 344, 349, 357, 360, 363, 374, 393, 394, 403, 410, 430, 439}, {6, 15, 42, 47, 54, 56, 82, 83, 88, 97, 118, 127, 147, 148, 152, 178, 181, 186, 204, 207, 218, 222, 229, 231, 237, 242, 246, 249, 257, 263, 267, 268, 296, 308, 314, 317, 328, 332, 336, 346, 353, 368, 390, 399, 414, 422, 426, 427, 443, 446, 447}, {11, 35, 67, 71, 76, 77, 86, 104, 106, 117, 130, 131, 134, 143, 177, 185, 187, 201, 203, 220, 228, 244, 258, 273, 274, 297, 300, 321, 323, 334, 335, 354, 355, 364, 371, 378, 388, 398, 437, 438}, {2, 13, 18, 41, 43, 44, 48, 57, 59, 75, 79, 110, 158, 161, 179, 208, 243, 245, 250, 269, 275, 287, 320, 329, 337, 341, 356, 359, 376, 383, 395, 421, 423, 431}, {49}
